,Pair,K,W,Entropy_RLVR,Entropy_Base,GenSim_RLVR,GenSim_Base,Gap_RLVR,Gap_Base,Necessity,Sufficiency
12,Llama8B_GSM8K_Final,2,1,0.0146926725,0.09581606,0.8420814739295672,0.9202475907385457,0.8085286798993823,0.4394469129179809,5.538894549298101,0.38856152705444025
13,Llama8B_GSM8K_Final,2,3,0.006638256,0.089089155,0.8819852535803634,0.9300142166864537,0.8091729169787547,0.40133770133649227,7.000282239020555,0.46581930355549983
14,Llama8B_GSM8K_Final,2,5,0.021864554,0.028963879,0.9064981181240646,0.9457301706289305,0.8125874509558348,0.20784532440978798,8.477627784564579,0.5232567919925603
15,Llama8B_GSM8K_Final,4,1,0.04860344,0.16273196,0.9081975401485233,0.9291705970145478,0.7793533418485522,0.3487125311364091,8.920845039261389,0.4121428960833234
16,Llama8B_GSM8K_Final,4,3,0.025280755,0.08915842,0.9435579505850034,0.9493132780313187,0.7239291383635095,0.16746152346110832,13.59864750662152,0.4941009900269463
17,Llama8B_GSM8K_Final,4,5,0.016051784,0.10099722,0.9419530414265288,0.955067486265227,0.36759253989655316,0.16744209908506769,13.415912298041992,0.5374546024888274
18,Llama8B_GSM8K_Final,6,1,0.04922513,0.22320996,0.9321021685546608,0.9442334524330567,0.6546835106755139,0.3342395263628569,12.089239318198322,0.4229137398446548
19,Llama8B_GSM8K_Final,6,3,0.049168117,0.117277436,0.9575908525701029,0.913548292825594,0.6146711299330214,0.13112537790815904,17.350070693700086,0.49704279388298694
20,Llama8B_GSM8K_Final,6,5,0.088145934,0.15193291,0.9574604138820129,0.9467169953556899,0.6927173255380588,0.26024905421751265,18.367158534715937,0.5578621603810565
21,Llama8B_GSM8K_Final,8,1,0.069263265,0.22266205,0.9323396651053852,0.9428654053192889,0.6521547836330833,0.3215176695466966,12.084101983763505,0.43059698209460406
22,Llama8B_GSM8K_Final,8,3,0.05245264,0.15018912,0.9642072390720069,0.9035259579377406,0.4036780406391527,0.15841765834853727,20.415834802126085,0.5153821285598486
23,Llama8B_GSM8K_Final,8,5,0.12942104,0.10848257,0.9670638528801281,0.9656555649931259,0.5714355389331213,0.07566717420503255,24.59806313055467,0.5592225224654254
24,Llama8B_Math500_Final,2,1,0.012740103,0.108646624,0.8344148523996225,0.9393520284195741,0.7317186259670627,0.5253456221174233,5.800802755824538,0.42335093156434594
25,Llama8B_Math500_Final,2,3,0.009176774,0.1355333,0.8853477292062734,0.9668003917596806,0.8704232855461149,0.6987086776810885,7.871004585984726,0.5532281985774037
26,Llama8B_Math500_Final,2,5,0.014382802,0.08268913,0.9241135783795354,0.9725544732390788,0.8054054053984243,0.2518987341751182,11.754379424583574,0.6372844325705317
27,Llama8B_Math500_Final,4,1,0.03424112,0.20338751,0.8694311799493935,0.9502306192507968,0.7346196979569499,0.4181451092545947,7.409892319406934,0.4445590819627978
28,Llama8B_Math500_Final,4,3,0.016295474,0.23576619,0.9386316056597769,0.976505528578813,0.5809041028150138,0.22573312607421558,14.638178084170775,0.5691756475462589
29,Llama8B_Math500_Final,4,5,0.01798615,0.19641714,0.9532768313310294,0.9826536199502778,0.5383986497665498,0.22762282972261605,19.322090560154336,0.6543779243478192
30,Llama8B_Math500_Final,6,1,0.05795548,0.25098386,0.9080450866866663,0.955194425880909,0.6604184479164412,0.34095067206121277,10.221013683060518,0.45518172882148067
31,Llama8B_Math500_Final,6,3,0.025742233,0.26575592,0.9564997091854098,0.9787262142047115,0.6418909023149374,0.15825142251207303,21.207037609114767,0.5780122469489773
32,Llama8B_Math500_Final,6,5,0.03768235,0.2889945,0.9667622145177968,0.9815378115888227,0.6576149151546786,0.096577608710674,28.431620731820633,0.6624357969052844
33,Llama8B_Math500_Final,8,1,0.03219902,0.29678234,0.9139401566004484,0.9603238232930501,0.558827074860647,0.254992111067749,11.80590293965722,0.4480817465002959
34,Llama8B_Math500_Final,8,3,0.03446805,0.33498254,0.9694252332412265,0.9808742425393784,0.6015612395905356,0.17770169390188006,28.93304541637883,0.5885964816318419
35,Llama8B_Math500_Final,8,5,0.032498278,0.33048055,0.9738654137801513,0.984118303447439,0.3960763944284047,0.09575238444477929,35.923253366724516,0.6662279198338327
36,Qwen1.5_GSM8K_L20,2,1,0.09756337,0.10682293,0.5808506630347583,0.5275261809325632,0.9864155064143474,0.9847844463181603,2.296072892264464,0.10064184332468776
37,Qwen1.5_GSM8K_L20,2,3,0.10678316,0.27167407,0.6241979547096103,0.5680351273973561,0.8582811393694892,0.9557446808239883,2.4175855990544717,0.1840933952766715
38,Qwen1.5_GSM8K_L20,2,5,0.15595177,0.3145506,0.6846096456264893,0.7643943838775158,0.8665200893597355,0.6607142856241812,2.5124934233977405,0.32248092780355364
39,Qwen1.5_GSM8K_L20,4,1,0.16361475,0.15853225,0.6408171305480157,0.576209665596285,0.6478618241145004,0.6841861517095772,2.5842947491578965,0.10036537616069388
40,Qwen1.5_GSM8K_L20,4,3,0.1641056,0.4901036,0.6729976164108294,0.5646723552955596,0.3868275616197149,0.49574697462206696,2.598895672275507,0.18168400424888992
41,Qwen1.5_GSM8K_L20,4,5,0.33384722,0.6026592,0.70877533535769,0.7525287689641118,0.7341135322347392,0.13962038994439097,2.661052311854182,0.3262683071079664
42,Qwen1.5_GSM8K_L20,6,1,0.2015448,0.1346893,0.646462985533762,0.6210406154544329,0.7106975893223166,0.5415167385300017,2.122757682620466,0.10538953296685839
43,Qwen1.5_GSM8K_L20,6,3,0.22202459,0.44278142,0.6999653819739149,0.6099511542716506,0.5734441617450945,0.2533279391310207,2.9965730891456723,0.18715668800312962
44,Qwen1.5_GSM8K_L20,6,5,0.32444015,0.8662545,0.737407857415064,0.715654656291008,0.5058926919870081,8.888889624358853e-10,2.886874222550594,0.3220792491338216
45,Qwen1.5_GSM8K_L20,8,1,0.22972633,0.10922694,0.6519663297550996,0.6360376748816431,0.44688510976570806,0.45174147737669956,2.1109165217658004,0.10022951654066756
46,Qwen1.5_GSM8K_L20,8,3,0.19939615,0.83978593,0.7084273101932356,0.5619844038809478,0.4356843273722233,0.5199315961821875,3.0113105935263067,0.18695171050956297
47,Qwen1.5_GSM8K_L20,8,5,0.508763,0.9754294,0.7017947853253602,0.683929705992341,0.4529000303699897,0.07923318086059739,2.4384876525129453,0.3305796882486902
48,Qwen14B_Math500_L28,2,1,0.008963149,0.03159395,0.8914885713050358,0.9209524071517111,0.6507816057055669,0.8988332594812387,8.801099720433227,0.13059807835193743
49,Qwen14B_Math500_L28,2,3,0.004131491,0.1288438,0.9379735400037068,0.9633681915574155,0.9216810683399326,0.74999999990625,14.115754756081223,0.19189019116841383
50,Qwen14B_Math500_L28,2,5,0.006223924,0.0043355757,0.9668012701811429,0.9976856857538223,0.7062499999919434,0.9999999989999999,24.715511986186993,0.5389793291687965
51,Qwen14B_Math500_L28,4,1,0.02672174,0.056897737,0.9452891109333986,0.9443804519016201,0.7705709577511564,0.8092047995263354,16.490775938012625,0.12898156879540187
52,Qwen14B_Math500_L28,4,3,0.010101001,0.25264803,0.9748920882672383,0.9534720894643816,0.7331723184208785,0.4753752236206384,33.81852155218118,0.1939845670140901
53,Qwen14B_Math500_L28,4,5,0.015530582,0.15569088,0.9826790698203344,0.9963302910327911,0.7768118967037672,0.0,47.925861429210684,0.5465731099247932
54,Qwen14B_Math500_L28,6,1,0.049043078,0.08272677,0.9461336435144964,0.9599677285226453,0.7670387985232274,0.6054866367893654,17.081059221153605,0.13023736182690263
55,Qwen14B_Math500_L28,6,3,0.01720822,0.27514946,0.9845378957948411,0.9648068527043876,0.5469055901419677,0.06600086479465817,54.39135089917855,0.20103765041488458
56,Qwen14B_Math500_L28,6,5,0.029940033,0.13518576,0.9888462989199566,0.9670382291078568,0.64782009329197,0.9999999989999999,65.54597647452444,0.5537136644124985
57,Qwen14B_Math500_L28,8,1,0.05595136,0.12629977,0.9642031880971472,0.9499546768284646,0.6173302664286612,0.6219593204715617,24.365956389278942,0.1355208889870834
58,Qwen14B_Math500_L28,8,3,0.024582531,0.46555874,0.9842746520888722,0.9646612516904282,0.6767996338524465,0.5061958893928321,50.01643246586664,0.19939122311139512
59,Qwen14B_Math500_L28,8,5,0.029367566,0.10019543,0.9908454166068732,0.9968662410974503,0.36183375063670864,0.0,107.01749595716458,0.556595005095005
60,Qwen14B_Math500_Final,2,1,0.017999532,0.02195001,0.807568866518259,0.8530044375523312,0.8509785021858141,0.7294342242206209,4.523637894721351,0.13374949630895272
61,Qwen14B_Math500_Final,2,3,0.0062403297,0.028852284,0.9038536932887983,0.9560404530277958,0.7456972905145327,0.9545454542736127,8.235758844786012,0.15940839335046433
62,Qwen14B_Math500_Final,2,5,0.006203425,0.006613768,0.950020644146958,0.9980666637420654,0.8045858293657959,0.9999999989999999,14.691749960439237,0.5776769618193308
63,Qwen14B_Math500_Final,4,1,0.058249623,0.026806077,0.8415510535589259,0.8952774512645316,0.7603087307325831,0.6370097699036263,5.349432178763318,0.1337257097973584
64,Qwen14B_Math500_Final,4,3,0.015572338,0.15264903,0.9548320034278046,0.9551170799467299,0.84234077154161,0.33333333305555557,16.640445694577117,0.1608351655045731
65,Qwen14B_Math500_Final,4,5,0.014175465,3.1144848e-06,0.9815831712151484,0.9967672427495321,0.6872245149808617,0.9999999989999999,37.79400070041568,0.5980106790860494
66,Qwen14B_Math500_Final,6,1,0.04622432,0.051523883,0.8632616469697307,0.909153320099393,0.43747134258082565,0.33458612748507577,6.498481638035148,0.13272873483269718
67,Qwen14B_Math500_Final,6,3,0.023216572,0.16443357,0.964521860043589,0.9632493798379544,0.5372803277645657,0.49999999985897375,21.870161925778444,0.16856609999754088
68,Qwen14B_Math500_Final,6,5,0.024418524,0.10427755,0.9849692906001871,0.9974706172943115,0.5416671937708605,0.9999999989999999,51.81083654908747,0.599765419960022
69,Qwen14B_Math500_Final,8,1,0.04155365,0.065776214,0.9024484072686556,0.9156003894718134,0.5212081580300874,0.46671871096608963,8.489493956751755,0.12997022279289436
70,Qwen14B_Math500_Final,8,3,0.021774607,0.20884943,0.9615473905088904,0.9748063440676089,0.222119816483608,0.142939233862582,21.131826255638465,0.16949725975454957
71,Qwen14B_Math500_Final,8,5,0.026876489,0.027243763,0.9869718753637163,0.9799795150756836,0.40701965327862066,0.0,44.15467885911213,0.6087819139162699
72,Qwen1.5_Math500_L20,2,1,0.19301596,0.23673351,0.627216743285697,0.5776894187132022,0.8915052532543175,0.8771070282826551,2.25099594502361,0.20783407376333607
73,Qwen1.5_Math500_L20,2,3,0.22554553,0.3243385,0.7187492943132245,0.627336211656702,0.958828118225181,0.6135265700248407,2.5415843958584268,0.2776958721465078
74,Qwen1.5_Math500_L20,2,5,0.3127935,0.12734589,0.8236271391184593,0.869918588329764,0.8713312004388114,0.6666666664444445,2.8442073184982872,0.31081608858178644
75,Qwen1.5_Math500_L20,4,1,0.3742877,0.390625,0.6486309562549946,0.6006556085666219,0.5530964106586829,0.7393335575455708,2.356220421889716,0.2122092533666766
76,Qwen1.5_Math500_L20,4,3,0.3538489,0.8264005,0.7457057759729592,0.5963292389080442,0.5485090997593044,0.7673926760712503,2.790764241244255,0.2806443848936208
77,Qwen1.5_Math500_L20,4,5,0.7307549,0.5390553,0.8327989024337582,0.8330865923096152,0.898326423924982,0.499999999875,2.806099380246572,0.3116847548414679
78,Qwen1.5_Math500_L20,6,1,0.4663042,0.22954603,0.6699575799012674,0.6389294678061977,0.712173931578787,0.4571884773290813,2.27147362299173,0.2096210748266122
79,Qwen1.5_Math500_L20,6,3,0.64856625,1.0547458,0.7509997776070156,0.5839054397724825,0.6791809569628289,0.5262299363429144,2.76166144190978,0.2810111670353418
80,Qwen1.5_Math500_L20,6,5,0.86435133,0.6414237,0.82719844878486,0.8250755089170793,0.63357460803843,0.13962038928508225,2.913570319131948,0.3149547180818284
81,Qwen1.5_Math500_L20,8,1,0.5266734,0.57784617,0.6746863832059862,0.5966707240474268,0.5241176263298009,0.4458899723629073,2.232500158219439,0.21192632716943388
82,Qwen1.5_Math500_L20,8,3,0.5114836,0.9899759,0.7679398480943731,0.5879250652702718,0.3190083338650388,0.44538138998851406,3.1647111308202023,0.28386698198697435
83,Qwen1.5_Math500_L20,8,5,0.92435783,0.93868476,0.8226220394391327,0.772707478088491,0.4730780404965643,0.33333333305555557,2.9184549128333432,0.31479207448223057
84,Qwen14B_GSM8K_Final,2,1,0.10619224,0.035490856,0.8571876954055775,0.8744490761661304,0.5129052464781398,0.8533333333227442,2.5728215032840955,0.0
85,Qwen14B_GSM8K_Final,2,3,0.14798227,0.032299742,0.9045661540980959,0.9514646874533759,0.5813681065714991,0.29999999957,2.7896307633142086,0.0
86,Qwen14B_GSM8K_Final,2,5,0.3376355,1.8188731e-10,0.940676915123448,0.9917219281196594,0.6233897814438134,0.0,2.4275497069566336,0.0
87,Qwen14B_GSM8K_Final,4,1,0.31192064,0.0462875,0.8812859525156896,0.9123798173694115,0.3974443090641273,0.10890383401118853,2.521609721515843,0.0
88,Qwen14B_GSM8K_Final,4,3,0.20860496,0.11789103,0.918621901811612,0.943979811668396,0.24020789994248026,7.500000620552782e-10,3.9027904125852846,0.0
89,Qwen14B_GSM8K_Final,4,5,0.51886284,0.47720802,0.9522139843797586,0.9864460825920105,0.41269829044087625,0.0,4.009948368977491,0.0
90,Qwen14B_GSM8K_Final,6,1,0.3543335,0.06666423,0.8901980295945695,0.9321129736754129,0.3684818475581544,0.552306159681556,3.098196983591155,0.0
91,Qwen14B_GSM8K_Final,6,3,0.51230186,0.19476937,0.9286788726245221,0.955125892162323,0.3751613577958439,0.12256116622510727,4.120695679495975,0.0
92,Qwen14B_GSM8K_Final,6,5,0.6222156,0.0047083055,0.9582508396601579,0.9930583238601685,0.34757655130770093,0.0,3.806759616621616,0.0
93,Qwen14B_GSM8K_Final,8,1,0.38708913,0.09717031,0.8968396126971406,0.9282373106985722,0.2724274903862691,0.23873064282837575,3.1216661106263492,0.0
94,Qwen14B_GSM8K_Final,8,3,0.5977431,0.3255632,0.9313144311534295,0.9309322675069173,0.2545003450040406,0.0,4.17398101076267,0.0
95,Qwen14B_GSM8K_Final,8,5,0.8503476,0.000119026976,0.9611384248452597,0.9893730878829956,0.45031273047841813,0.0,4.89859665301546,0.0
